EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,8,3,4,5,7,3,6,11,noor; liikuma; töö; doktor; jooksma; tennis; pension; tervis; laur
4,6,8,3,4,5,7,3,6,11,noor; liikuma; töö; doktor; jooksma; tennis; pension; tervis; laur
4,6,8,3,4,4,7,3,8,11,noor; liikuma; töö; doktor; jooksma; tennis; pension; tervis; laur
4,6,6,3,5,4,4,2,8,11,noor; liikuma; töö; doktor; jooksma; tennis; pension; tervis; laur
4,5,5,3,5,4,4,3,8,11,noor; liikuma; töö; doktor; jooksma; tennis; pension; tervis; laur
3,5,4,3,6,6,3,4,8,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
3,5,4,5,5,5,3,4,8,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
5,4,4,5,5,4,3,5,7,11,noor; liikuma; doktor; töö; jooksma; tennis; pension; tervis; laur
3,4,4,5,6,5,3,4,7,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
3,4,5,5,6,6,4,5,7,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
4,3,4,5,6,4,4,5,5,11,noor; töö; doktor; liikuma; jooksma; tennis; pension; tervis; laur
