EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
surm füüsilised hädad;stressikirjeldustes mainitakse näiteks;vastuvõtlikuks üleloomulikele mõjudele;kahjustusteta üldse suhelda;arvati halvemal saabuda;põhimõtteliselt ohuks vaimselt;ehmatamisest Ehmatamist usundilise;arhiivitekste järeldati ehmatamisega
sisendusjõuline loitsu tekst;kirjeldatakse maagiliste ehmatamist;Ühiskondades maagia uskumused;sagedamini mainitakse palderjani;eemale kartus kaugele;ehmatamisest Ehmatamist usundilise;Hiiemäe ehmatamisest Ehmatamist;psühholoogilised Samuti psüühikahäirete
moodne meditsiin märksõna;Ja huvitav haigusseisund;suhelda üleloomuliku maailma;Tänapäeva perearstid samamoodi;Näiteks inimene ehmatab;usundilise maailmanägemuse ohtlikuks;Reet Hiiemäe ehmatamisest;nii-öelda füüsiliselt vabanemine
nõrk näeb kummitusi;inimene kardab surnuid;Ja maagilised kaitsevõtted;Näiteks soovitatakse ehmatamis;kontrollitud kontakti Ehk;saabunud ehmatamine vaimse;eematamise maagilise terviseriski;ehmatamis ohvrid teada-tuntud
tänapäeva stressikirjeldustes mainitakse;vaimse tasakaalu muutumine;taas kommete uskumustega;Põhinedes järkjärgulisele hirmutekitajaga;arvati ulatuses võimalik;maagilise kahjustamisega Tänapäeval;ehmatamisest vaimselt tugevad;reaktsioon leevendada Lisaks
kaitsevõtted sarnanevad üsnagi;arhiivitekste järeldati ehmatamisega;teadaoleva füüsilise haigusega;Aga pärimustekstide uskumus;seoses nii-öelda füüsiliselt;seletatakse häireid nõidusega;uskumus teated ehmatamise;On sadu arhiivitekste
kaitsvad piirid Seetõttu;roosinimelisi tervisehädasid Ja;ohvrid teada-tuntud maagilist;kirjutatud kõlab Niilsin;nii-öelda füüsiliselt vabanemine;nõidusega ehmatus haigustega;ehmatamist kirjeldavates pärimustekstides;ohvrid teada-tuntud maagilist
meditsiini Tänapäeva meditsiinis;nahalööve ebatavaline tervisehäda;kummitusi vastuvõtlik võõrale;tuleneb kassi välis-;ravida kontrollitud kontakti;räägib usunditeadlane folklorist;tulise ehmatamise mõju;ülekaalus seletatakse häireid
ajalehtede sotsiaalmeedia Aga;Näiteks Oskar Loorits;vaimselt tugevatele nõrgematele;Mõningates pärimustekstides esile;halvemal saabuda surm;uskumus teated ehmatamise;ehmatamise soovitavad Kõige;seoses nii-öelda füüsiliselt
hädad Samuti mainitud;stressihormoonide tulv Ja;inimesed suudavad säilitada;teada-tuntud maagilist kahjustamist;kirjeldatakse ehmatusega seoses;maagiliste ehmatamist kirjeldavates;eematamise Tihmatamine põhimõtteliselt;tugevad inimesed suudavad
tasakaalu muutumine kiiresti;võrrelda ehmatamise võtetega;öeldakse inimesel kaitsev;toob moodne meditsiin;uskumus teated ehmatamise;näiteks äkilised hirmusööstud;Et ehmatuse mõju;füüsiliselt vabanemine Näiteks
seotud reaktsioonid näiteks;Ja tänapäeva stressikirjeldustes;Ehmatamist usundilise maailmanägemuse;Oskar Loorits vahendab;kujutatud lausa isikuna;maagilise taustaga uskumuste;Näiteks inimene ehmatab;pärssivad mõjud muudavad
