EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,6,5,4,3,3,6,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,4,6,5,4,3,3,6,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,4,6,5,4,3,3,6,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,4,6,5,4,3,3,6,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,4,6,5,4,3,3,6,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
5,4,6,5,4,3,3,5,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
4,5,4,5,4,2,4,5,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
5,5,4,3,5,4,5,8,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
4,5,6,5,4,5,5,8,1,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
6,8,6,6,4,2,4,7,2,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
5,7,6,5,5,2,5,3,3,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; lugu; queen
