keyphrase;score
käigus;0.9989
kommenteerima;0.9988
sotsiaalmaa;0.9988
maalikunstnik;0.9988
kuskilt;0.9988
projekt;0.9988
töötama;0.9988
2004;0.9988
süüdistama;0.9988
varastamine;0.9987
kujutama;0.9987
teadus;0.9987
maakonnavalitsus;0.9987
jõud;0.9987
vahva;0.9987
töötaja;0.9987
üks-ühele;0.9987
hästi;0.9987
võimalik;0.9987
kohtuma;0.9987
põhjalik;0.9987
tundma;0.9987
tekst;0.9987
valmis;0.9987
kapremont;0.9987
2006;0.9987
20;0.9987
võib-olla;0.9986
antropoloogia;0.9986
kuuekümnes;0.9986
sõideoloogia;0.9986
pidevalt;0.9986
varem;0.9986
Luik;0.9986
põgenema;0.9986
Kakumäe;0.9986
variant;0.9986
lihtsalt;0.9986
muusika;0.9986
vargus;0.9986
linnakeskselt;0.9986
külg;0.9986
väljendama;0.9986
ajal;0.9986
Mustamäe;0.9986
objekt;0.9986
2013;0.9986
1996;0.9986
järjest;0.9986
arvama;0.9986
aeg;0.9986
2012;0.9986
teadlane;0.9986
elu-olu;0.9985
tühi;0.9985
võimaldama;0.9985
kõrgus;0.9985
muutus;0.9985
lõpetama;0.9985
vahe;0.9985
suhteliselt;0.9985
brutopind;0.9985
linnavalitsus;0.9985
ühine;0.9985
kuju;0.9985
võistlus;0.9985
kreis;0.9985
Maakri;0.9985
kamber;0.9985
teaduslikkus;0.9985
Lill;0.9985
omavalitsus;0.9985
mõtlema;0.9985
modernismijärgne;0.9985
raha;0.9985
kontakt;0.9985
raam;0.9985
tehas;0.9985
püha;0.9985
Valter;0.9985
näiteks;0.9985
üleastumine;0.9985
restoran;0.9985
riiklik;0.9985
alustama;0.9985
filmifestival;0.9985
mittekunst;0.9985
üldse;0.9985
leidma;0.9985
arutelu;0.9985
vallavalitsus;0.9985
detail;0.9985
põlema;0.9985
koht;0.9985
esimene;0.9985
tõsiselt;0.9985
omanik;0.9985
maja;0.9985
liige;0.9985
president;0.9984
lubatud;0.9984
tulemus;0.9984
ilm;0.9984
trükkima;0.9984
natukene;0.9984
põhjendus;0.9984
elanik;0.9984
Togo;0.9984
suur;0.9984
postmodernism;0.9984
loomekirg;0.9984
ambitsioon;0.9984
pakkuma;0.9984
tegelema;0.9984
uus;0.9984
suhtlus;0.9984
tähtsus;0.9984
kaks;0.9984
Margit;0.9984
1000;0.9984
tellija;0.9984
Harrit;0.9984
ring;0.9984
juust;0.9984
sõna;0.9984
niuke;0.9984
Sydney;0.9984
modernistlik;0.9984
tähelepanu;0.9984
tajuma;0.9984
kaheksakümnes;0.9984
tung;0.9984
süda;0.9984
linn;0.9984
vaja;0.9984
põhiline;0.9984
mõjutama;0.9984
Linnahall;0.9984
kohvik;0.9984
kapten;0.9984
100;0.9984
juhus;0.9984
käitumine;0.9984
suhtuma;0.9984
Kakumäekeskkond;0.9984
Tartu;0.9984
üldiselt;0.9984
rahvas;0.9984
ehitamine;0.9984
ühtmoodi;0.9984
pisar;0.9984
Tallinn;0.9984
Eestimaa;0.9984
nii-öelda;0.9983
tegelikult;0.9983
;0.9983
10;0.9983
kolmas;0.9983
arhitekt;0.9983
büroodel;0.9983
korrus;0.9983
püüdma;0.9983
kinnitama;0.9983
Kunnus;0.9983
probleem;0.9983
kokkupuutumine;0.9983
rahakott;0.9983
kõikvõimalik;0.9983
teater;0.9983
kokkulepe;0.9983
leping;0.9983
nimelt;0.9983
metafüüsiline;0.9983
tõlgendamine;0.9983
vabalt;0.9983
staatiline;0.9983
sulg;0.9983
armas;0.9983
eluruum;0.9982
Arhitekt;0.9982
miinus;0.9982
lõgor;0.9982
kõrge;0.9982
arhitektuuribüroo;0.9982
maht;0.9982
hinnapakkumine;0.9982
paar;0.9982
natuke;0.9982
enam-vähem;0.9981
si-us;0.9981
täis;0.9981
jätkuma;0.9981
žürii;0.9981
võtma;0.9981
yldiselt;0.9981
elamine;0.9981
tugevamalt;0.9981
ümbritsev;0.998
raames;0.998
paarkümmend;0.9976
