EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,2,6,1,3,4,5,5,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
9,4,3,6,2,4,4,6,5,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
9,3,3,6,2,4,4,6,5,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
7,2,3,6,3,5,7,6,6,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
6,3,3,6,5,8,7,8,6,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
9,4,6,7,5,9,5,8,7,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
7,6,9,7,7,9,8,10,6,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
5,5,8,9,7,6,6,11,8,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
7,6,8,8,6,7,9,10,8,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
5,4,9,7,8,8,9,9,8,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
6,7,8,6,7,7,6,7,7,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
