EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,1,11,ettekujutus; õppimine; nägemus; enesetunnetus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
1,1,1,0,0,2,1,0,0,11,nägemus; õppimine; enesetunnetus; ettekujutus
