keyphrase;score
eesti;0.999
islami;0.9989
kujutanud;0.9989
probleemi;0.9989
lähtutakse;0.9989
tasakaalu;0.9989
mõtlesin;0.9989
vene;0.9989
islam;0.9989
70;0.9989
viis;0.9989
Nendest;0.9988
läänelike;0.9988
sõnum;0.9988
kõrgetasemelised;0.9988
esimest;0.9988
võib-olla;0.9988
Nende;0.9988
rahvuslik;0.9988
tervikuna;0.9988
René;0.9988
võimalik;0.9988
vajalik;0.9988
See;0.9988
aja;0.9988
Istanbul;0.9988
Nendes;0.9988
1928;0.9988
keelamise-käskimise;0.9987
korrastavad;0.9987
hästi;0.9987
ongi;0.9987
On;0.9987
varem;0.9987
korteris;0.9987
Niisiis;0.9987
kasutada;0.9987
22;0.9987
sõnagi;0.9987
Mind;0.9987
paha;0.9987
leida;0.9986
Järgmiseks;0.9986
Euroopa-mõjuline;0.9986
teravam;0.9986
tegelikult;0.9986
Turkmeeni;0.9986
puudub;0.9986
Venemaal;0.9986
märtsikuu;0.9986
külast;0.9986
muutuvad;0.9986
klassi;0.9986
islamimaailma;0.9986
võimsuse;0.9986
tundma;0.9986
paljudele;0.9986
hingata;0.9986
riigist;0.9986
jälgida;0.9986
näiteks;0.9986
katse;0.9986
järjest;0.9986
juurdunud;0.9986
Saksamaal;0.9986
ajal;0.9986
püüame;0.9986
suurlinnas;0.9986
püüavad;0.9986
23;0.9986
pärsia;0.9986
room;0.9986
tänapäeval;0.9986
paljudes;0.9986
eta;0.9986
öelda;0.9985
viiendiku;0.9985
lugeda;0.9985
europarlamendis;0.9985
üheselt;0.9985
Kõik;0.9985
10;0.9985
vaatame;0.9985
vabariigi;0.9985
detsembrikuus;0.9985
külaprobleemid;0.9985
liberalismi;0.9985
täiendada;0.9985
Ameerika;0.9985
Läänes;0.9985
paari;0.9985
linn;0.9985
saamise;0.9985
inimestena;0.9985
üldse;0.9985
aeg;0.9985
ühiskonna;0.9985
mees;0.9985
riigipööret;0.9985
inimeseks;0.9985
Saksamaalt;0.9985
Terry;0.9985
tüdrukut;0.9985
linna;0.9985
islamimaailm;0.9985
suurt;0.9985
riigid;0.9985
esimene;0.9985
Venemaale;0.9985
inimesel;0.9985
maja;0.9985
toimubki;0.9984
võtma;0.9984
kristlike;0.9984
liigutavad;0.9984
tugev;0.9984
-te;0.9984
maal;0.9984
Tendermann;0.9984
tasemel;0.9984
asja;0.9984
ladina;0.9984
natukene;0.9984
elanik;0.9984
meiegi;0.9984
õppida;0.9984
mikrofoni;0.9984
Iga;0.9984
Palju;0.9984
situatsiooni;0.9984
taktika;0.9984
modernismi;0.9984
Saudi;0.9984
Morrison;0.9984
huvitav;0.9984
tegelema;0.9984
Istanbuli;0.9984
Kui;0.9984
tunnistama;0.9984
läänemaid;0.9984
tõlkes;0.9984
tüdrukutel;0.9984
kokkuvõtet;0.9984
sõna;0.9984
üldsegi;0.9984
kaua;0.9984
aastat;0.9984
üksinda;0.9984
reisiks;0.9984
riigi;0.9984
pealkirja;0.9984
kaks;0.9984
Türgi;0.9984
Vastus;0.9984
otsuse;0.9984
piiri;0.9984
vähe;0.9984
langetamisel;0.9984
uurisin;0.9984
Euroopas;0.9984
Need;0.9984
üldiselt;0.9984
jälgimine;0.9984
võimule;0.9984
kipu;0.9984
inimestelt;0.9984
kahe;0.9983
ütles;0.9983
Pamuka;0.9983
kolmandikku;0.9983
suur;0.9983
noori;0.9983
rahvuskultuuri;0.9983
räägitud;0.9983
Meie;0.9983
küla;0.9983
sultaniriigi;0.9983
sõjaväelased;0.9983
maailmas;0.9983
ühisjooni;0.9983
Rootsi;0.9983
Tomuk;0.9983
Paratamatult;0.9983
ääremaa;0.9983
kerge;0.9983
Prantsusmaal;0.9982
mitmekümne;0.9982
lääne;0.9982
prantslased;0.9982
tahtis;0.9982
;0.9982
töötlevad;0.9981
hiljuti;0.9981
tähele;0.9981
läänelikud;0.998
meenutada;0.998
näinud;0.998
kirjutatud;0.9979
sõpra;0.9978
ühiskondlikud;0.9974
