EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,1,3,3,4,3,2,4,3,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
5,1,3,3,4,3,2,4,3,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
5,1,4,3,4,3,3,5,3,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
5,1,5,3,4,3,3,6,3,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
5,1,4,3,5,3,3,5,3,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
5,1,4,3,6,2,2,4,3,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
4,1,5,3,5,2,1,5,3,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
3,2,4,2,5,2,1,6,6,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
4,2,3,7,5,4,1,3,5,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
4,3,3,6,4,4,2,4,5,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
3,3,2,5,3,4,2,4,4,12,aabits; õigekeelsussõnaraamat; mood; släng; keel; esimene; koolipäev; tahv
