keyphrase;score
näiteks indoeuroopa keeltega;0.479
Aga huvitanud sõnapaarid;0.3791
Internetikeel SMS-ide keel;0.372
Euroopa keeltes kauntserling;0.3294
itaalia keeles No;0.3261
Indo-Euroopa surve No;0.3125
Igor võõraid inglise;0.3113
Ma püüdnud keeleteadlase;0.3049
eesti sõna Sattusin;0.3046
Ühesõnaga eristada rääkimist;0.3005
Ja hundid karud;0.2971
vanas saksa lastelaulus;0.2942
kutsunud Jaan Kaplinski;0.2939
kopsud-maksad üldmõisteid eesti;0.2874
noorte suhtlus interneti;0.2793
asi ametlik eesti;0.2755
Et eestlane tahab;0.2751
veekogud jõed järved;0.2715
kirjakeelt Johannes Aavik;0.2662
Võõrsõnu keerulisi mõisteid;0.2631
tõlkimisel puudus onomatopoeetilisdeskri;0.2627
nimetatakse koolitunnis kaudseks;0.2583
kõrgema abstraktsiooni vajadus;0.258
kvalifikatsiooni natuke hoida;0.253
eriti kaua alistatud;0.2525
süsteemsetel põhjustel Aga;0.2516
öö päeva Või;0.2496
teatud muutused turistid;0.2495
Viljandis Aga ütleksime;0.2488
Laulas kõladega eksperimenteerinud;0.2464
ilusti kirjeldanud tähed;0.245
alaväärsustunne väikerahvastel eriti;0.2442
võetilised Oki linn;0.244
keeltes nähtusi Esmapilgul;0.2419
vene vene laenu;0.2407
kasutama ersa koored;0.24
otsides Kuidas arvate;0.2388
keeles sky prantsuskeeles;0.2381
asju küberneetika isa;0.2375
No hallid toonid;0.2369
Väga lihtne asi;0.2328
ladina kreeka algupära;0.2311
nina Aga meeldib;0.2311
Lõpetuseks küsimus Jaan;0.231
inimene loomult laiskloom;0.2295
nii-öelda kõlamaalinguid tilin;0.2244
sulgudes kirjutame A;0.2235
Noh skeptiline paljude;0.2207
korrektne Selle mõttega;0.2186
sõnad Kahju söandata;0.2129
kakaod Ja võimalused;0.2114
Keel määral isereguleeruv;0.211
paistuneks Sellised vormid;0.2107
vajadust Kas kõnelda;0.2107
bõliina luule tabatud;0.2081
võitlemine aitame võimelnud;0.207
hägusloogika tegelikult osadega;0.2064
kiire suhtlemislaadiga jääksin;0.2039
mobiilisõnumid kasutatakse äärmiselt;0.2036
sõnapaarid kila-kola vento;0.2032
Soomes potentsiaal kuuluneks;0.2027
kindlasti kõla maalinguliselt;0.2027
kirjakeelele Ikkagi puid;0.2022
Mina inimene Laulas;0.2021
tohuvapohu tähendab keeles;0.2016
