keyphrase;score
keskaegne söögitegemine pulmadest;0.7683
saabumist kuld- hõbeehteid;0.6917
sajandi alguses seitsmeteistkümnes;0.6888
jüri kirjutanud terve;0.6886
liiklus liiklustempo sugugi;0.687
moodustasid sink suitsuvorst;0.6775
säritis laevadel areenil;0.677
nimelt tallinna keskaegne;0.6763
seisuslikud viieteid räägin;0.6736
lisada suhkrut ingverit;0.6704
teada konkreetne pidu;0.6703
käib kulutusi taheti;0.6693
kuskilt mujaltki lausa;0.668
veebruaris-märtsis sageli rukis;0.668
reeglina naljakas tollasest;0.6669
pandi tähendab 1000;0.6661
520 vaevalt 20;0.6647
toidule lambalihaveiseliha peenleib;0.6597
porgandit puhastada lõigata;0.6597
talu üldse tähtis;0.6585
jälle tsiteerida russavit;0.6577
abielu nii-öelda politseile;0.6572
kuulsamaid liivimaasõjaaegseid tegelasi;0.6569
põletatud arust elasid;0.6558
tähendab nimeliselt paari;0.6557
saates esineb tallinna;0.6553
teenima töö mõiste;0.655
eriti tähtsad metslinnud;0.6526
hoiti saladuses tegelikult;0.6507
arvestada tollane liiklus;0.6473
hoones mustpeades ruume;0.6471
leitaks linnas suurgildi;0.6468
ajal agnes von;0.6464
räägib räägib endel;0.6458
pulmamääruseks niuksed luksusmäärused;0.6457
maha surutakse lämmatab;0.6448
mõisnike seltskonnale tollal;0.6439
siinse laadilühkista uhked;0.6436
pudru pehmeks värvida;0.6433
kuuldus liikvele venelane;0.641
talupoja ütelda võta;0.6407
ainuke natuke ütlevalt;0.6405
näiteks rakverest lausa;0.6399
ühiskondlik räägime aastas;0.6393
pulma jahikäigult jahikäigule;0.6387
rünnakse lausa jumala;0.6385
mukitud suured jakkasket;0.6373
põldsam ütles teada;0.6367
ohvriks täpselt perekonnad;0.6366
aadli genoloogiasse antpuse;0.6358
lõigata tükkideks keeta;0.6349
mahu kaalumõõt salitisema;0.6348
juhtus nädalat pulmi;0.6344
kauppele lubatud kauppele;0.6333
nimelt tea öelda;0.633
talvisel ajal talvel;0.632
linnas joomine laagerdamine;0.6318
reinveini vein tohtis;0.6314
taristatud distantsid reas;0.6313
talupoja kehtisid trahvi;0.631
suurt pulmapidu pidusid;0.6305
eliidile pulmamärkused panevadki;0.6303
russowideks pikemalt siinset;0.6301
arvatavasti jaanuari lõpus;0.6286
kriis velgi teiskada;0.6285
lisada head veini;0.6281
kaardimäng ratsutamine sõitmine;0.628
antpuse karja tõbras;0.6278
jumala maa vääris;0.6271
tohtinud surnud rebane;0.6256
oligi tegelikult maksimum;0.6251
usu abikaasa jäi;0.6238
minagi täpselt salites;0.6238
paika harilikult dist;0.6222
morrale tervise vaadake;0.6204
käinud lahtise näoga;0.6198
õigus abiellutakse kabi;0.6193
pulmade artikleid täpselt;0.6187
harilikult mardipäeva käidi;0.6186
valmistatud paksu mandlipiima;0.6179
terve hulk pruudi;0.6174
tea imeilus russowideks;0.6171
sellenimelisi inimesi elas;0.617
pastor luterlik pastor;0.6162
peas üleüldse rebasest;0.6161
ootamatut võimatut võimatut;0.6159
põõsa kuuse vaenlaseks;0.6154
veendunud ortodoksne luteri;0.6147
tallinna ülikooli vanemteadur;0.6145
aasta aasta full;0.6144
mandli mandlipere pere;0.6143
täpselt kulges täpselt;0.6124
raekotta eestantsija määras;0.6114
vähe vaadake tollasel;0.6104
arvatavasti teab soust;0.6101
lugu musta sousti;0.6094
tohi näha mõistlik;0.6073
tea mürki võtta;0.6067
moskvasse kloostris oligi;0.6067
tõi näiteid tähendab;0.6058
õlled täitaks hau;0.6052
töö mõiste siinsete;0.6049
servi loomulikult nii-öelda;0.6043
tohtis laval senikaua;0.6031
eestantsijaks ütelda eeskujuks;0.6031
elati soodumas vene-tatari;0.6031
martsipani teatekuld võimalik;0.6016
pidurdatud üldse lasti;0.6014
kuldlehte võimalik õhukeseks;0.6008
päeval vaenlase väed;0.6007
elanikkonnast 1000 inimese;0.6006
meelde kuulsat filmi;0.5999
tütar fokia timi;0.5995
küsida tähtsal aadlikul;0.5993
suurt oligi tegelikult;0.5977
talvega valmis andma;0.5977
avalikuks nimetan naise;0.5969
abiellusid aadlikuga lõpuks;0.5957
aru küsida võib-olla;0.594
lausa veid sugupõlvi;0.5936
tollal varasemad baltikumi;0.5935
väed narva liivimaale;0.5933
kättesaadavad retsept hinna;0.5919
kolm neli vii;0.5894
arvatavasti taadi tavalisest;0.5873
absoluutselt antsest kuulsasse;0.5862
sugugi imekspandav pikalt;0.5841
vürtsidega lisanditega rosinate;0.5837
seisid nägid peigmehe;0.5813
pets rakvere linnas;0.5805
võimalik õhukesest loomulikult;0.5804
maitsestatud värskelt lisa;0.5782
maksma metslilli maksma;0.5762
maa-ala teati kujutan;0.5724
selgelt tunda kõigesti;0.5717
vaata vaadake metsloom;0.5702
matused tollal harilikult;0.57
rütmimäärasid muusikut tavalise;0.5699
keelati latti suureks;0.5697
andke teada kodulehel;0.5695
enam-vähem arvestada tollane;0.5694
tükki nii-öelda 200;0.5688
täitaks pidutsemisest russe;0.5665
tall no tallinnas;0.5624
rukist paksis ühekski;0.5569
mõisniku viis kuus;0.5565
toimis vastavalt seadustele;0.5517
elu elati liivi;0.5508
võeti võeti tallinnas;0.5434
õnneks hertsog magnusel;0.5375
psuse pühaseisus unustad;0.5308
puhastada lõigata tükkideks;0.5297
arvata rukis tegelik;0.5178
kuulsat filmi kuulsat;0.5177
tantsisid talupojad 16;0.4953
naiste vasaatorisest küsimusele;0.4933
kuulsasse 1000 5800;0.4881
räägime sadadest sadadest;0.4476
õlu vaika haamide;0.4372
sink suitsuvorst keel;0.4191
loomulikult pani reeglina;0.4113
hiljem põgenenud põõsa;0.3524
tallinnas tallinnas kasutusele;0.3454
kandid näiteks pulmade;0.3433
keskajal euroopas levinud;0.331
aadlikule lubatud üldised;0.3225
päevast kuuldud fraas;0.3169
nojah küsimus tihti;0.3126
maitse keeta pudru;0.3123
õmmeldi imelt vaevalt;0.3057
pulmast uhketest varudest;0.3012
20 jaanuari venelane;0.2985
vaadata tihti pulmi;0.2981
kat eriti tähtsad;0.2956
toimiku lausa arvas;0.2942
ühiskond seisus ühiskond;0.2925
tollal harilikult aastat;0.2897
rõhutab tihti õpetlikku;0.2859
salitist müüdi nii-öelda;0.2853
arvata oluline ajalooallikas;0.2843
haamide kolm neli;0.2836
nädala jälle nimi;0.283
pidusid 16 sajandil;0.2824
tollal üpris võõras;0.281
elasid hästi hiljem;0.2771
uhkelt organiseeritud lausa;0.2744
valdkonnad vaata vaadake;0.2701
jälle määrus tundub;0.2696
keelatud aadlike aadlik;0.2656
paks betoon õhukene;0.2636
vääris rõhutab tihti;0.26
sageli sageli tea;0.2474
100 100 külalistähendab;0.2414
lahkumist teada vaja;0.2409
õiguslikuks tegu kõrgete;0.2367
metslilli maksma 150;0.234
kaks-kolm-neli nädalat hiljem;0.2189
pani reeglina pani;0.1908
vaadake kulda võimalik;0.1838
härga 20 lammast;0.1806
