keyphrase;score
teadma raha;0.7511
laps suvi;0.7299
-st 27;0.7067
eeter kell;0.6958
kuulama kultuur;0.6926
mõtlema kaasa;0.6894
17 29;0.6878
int Sint;0.6874
laululooja Roald;0.6872
Teater hipster;0.6763
suvi uisutama;0.6762
telelavastus kaasa;0.6759
raadiojaam raadio;0.6758
pimekäik kogustama;0.6736
lord of;0.6725
lubama aasta;0.6719
heelium vahetus;0.6711
vaim Eesti;0.6703
aasta vanusemuusika;0.6687
äpp Goog;0.6653
rõhutu nover;0.6637
looming Eveedee;0.6632
asi milleeniumivaheline;0.6628
tähistamine võtma;0.6619
kevadtuur 14;0.6614
kõlama lugu;0.6608
pilet piletilevine;0.6602
kontsertõht in;0.6582
tütarlaps tähtsam;0.6581
Esmeetria vanasti;0.6559
südaöö raadio;0.6545
A3 afi;0.6522
juurukai kentuur;0.6512
muusikaauhind jagama;0.6505
reede kell;0.6496
märts KUMU;0.6494
veebruar 2017;0.6491
in industriaalrokk;0.649
Clyde kaania;0.6477
natukene tegutsema;0.6474
festival neljas;0.6468
poed laadma;0.6426
täna Kaire;0.6418
Tallinn Rakvere;0.6415
34 minut;0.6415
publits nakatuma;0.6411
muusikanõunik Raul;0.6402
aru teitama;0.6392
tahtma Essad;0.637
kasulik kell;0.637
kuus euro;0.6367
number ootama;0.636
kaader saade;0.6358
hiir kuus;0.6351
Pigipop past;0.6344
kuulutama meik;0.6331
huvitama tegelikult;0.6329
sõber eile;0.6324
album täpsemalt;0.6317
maarjake lemmiklaul;0.6267
Sandei kell;0.6265
kutsuma Upa;0.626
õigemini Tolginghetsia;0.6259
Domelas viskama;0.6247
kaks nädal;0.6242
Siim Nestor;0.6241
kümmend neli;0.6228
metsakuts Jüri;0.6218
Taavi Kerikmäe;0.6217
viis rahvusringhääling;0.6207
Klaad jooksukett;0.6204
Grant Global;0.6203
lavastus Von;0.6194
vahendus striimima;0.6188
eeldus natukene;0.6187
uus Piccis;0.6179
juuni aasta;0.6178
kirjutama kerge;0.6175
argipäev kuus;0.6165
stuudio Maarja;0.6162
monotoonsus rütm;0.6147
kolm ahvileivapuu;0.6136
kriitiline võtmetegelane;0.6134
Roald ümarlaud;0.6133
plaat näide;0.6129
vana biitel;0.6127
panema märgusõna;0.6124
järjekord verivärske;0.6123
massikommunikatsioon massikommunikatsioon;0.6118
avanema täna;0.6117
jäähall elektriarve;0.6112
üheskoos küla;0.6097
75 sent;0.6089
17 34;0.6085
ameeter tähistonioodis;0.6072
Lauri Kaldoja;0.6054
14 seitsmeteistkümnes;0.604
muusika korraks;0.6032
asi põhimõtteliselt;0.603
kaks võtma;0.6029
müük mõnisada;0.6028
tavapärane töö;0.6028
Dorado kloon;0.6004
leidma 2006;0.5995
kindlasti tore;0.5993
teletorn kohtumisõht;0.5983
neli endine;0.5976
meisterdama pesakas;0.5958
kuulama R2;0.5941
sõidutama kell;0.5922
Play App;0.592
uudistama tibu;0.5893
hea tunne;0.5883
hunt kiib;0.5879
panema panema;0.5868
viis nutikas;0.5849
Remine ;0.5825
pühapäeviti kell;0.5823
Nael muusikaline;0.5798
Tallinn linn;0.5788
küla Ilonale;0.5773
jätkuma hommikusaade;0.5752
Von Krahl;0.5731
vahetus aeg;0.5725
Kertu Moppel;0.5723
kaks seitse;0.5712
Valme Tõnis;0.5703
kõlama raadio;0.5701
istuma äkki;0.5698
kõlama õigemini;0.5696
fänn moodustatud;0.5681
tänane võimalik;0.5649
värskem eesti;0.563
Café filter;0.5626
jääma fantaseerima;0.5619
varnas näiteks;0.5617
kloon hävitusretk;0.5576
eeter linnaruum;0.5576
viimane uudis;0.5568
järjepidevus kandja;0.5532
Võru pilet;0.5446
euro kuulma;0.5379
kuulma kuulma;0.5222
viskama kaks;0.5105
draiv Elway;0.5021
filter kombikraist;0.4986
põletama põletama;0.4935
rahu nimel;0.4768
kaheksa number;0.4653
NO99 Ene-Liis;0.4649
printima uks;0.4145
mängima tahtma;0.4044
suundama suundama;0.401
näide album;0.3973
Tuulikk partei;0.3919
aasta 2016;0.3912
eile võitma;0.3899
püks päev;0.3839
töötama hästi;0.3832
otse loomulikult;0.3803
Morna jätkuma;0.379
86 homme;0.3786
apelsin kartul;0.3738
telelavastus rääkima;0.364
aeg jube;0.3582
Sliformaats kaks;0.3579
draiv püks;0.356
UK number;0.3551
õidunud füüsik;0.3431
korraks no;0.332
koht kindel;0.3309
lootusetult eile;0.33
kallis vabima;0.3249
lemmik Singer;0.3221
nõutu juhtuma;0.3207
poiss kakao;0.3203
lõge natukene;0.319
kuulama raadio;0.317
tähistama reede;0.3113
etaks töötlema;0.3089
homme rock;0.3062
kuulama lõpetama;0.29
hetk praktiliselt;0.2892
nägema nägema;0.2884
lavastus uskuma;0.2882
Marss aasta;0.2826
mängima värv;0.2814
laud panema;0.2675
roll mängima;0.2656
homme ühendus;0.2627
jõudma Krister;0.2576
viis kaks;0.2575
doktor Koit;0.242
sõber kaasa;0.2393
säi kell;0.2352
Ilonale Jussim;0.2235
mäng võitja;0.2111
nägema panema;0.1946
eeter Koit;0.167
asi vaatama;0.1552
