keyphrase;score
vaadeldakse klassikuid;0.9563
loengut eesti;0.9416
seminar niiet;0.9408
tunnetada linna;0.9405
valitseb Tallinas;0.9398
esmakordselt mõtlesin;0.9391
Yorgis lugeda;0.9382
Diana üldse;0.9372
Ei harjunud;0.9359
Ja tekib;0.9348
seminar väliseesti;0.9342
Hoopis linnaga;0.9327
Saviby teksti;0.932
Tartus elada;0.9314
Jon sügavalt;0.9312
korda Küsisin;0.9312
Arraku ateljees;0.9306
igand kultuurisektorist;0.9304
Yorgi teatris;0.9302
elasid olümpiavõistlejad;0.9301
Tõnuristi dünaamiliseks;0.93
sele otsingu-;0.9283
päevad Jalaga;0.9279
üldse aktiivselt;0.9276
Puhkusepaigaks puhata;0.9267
See väike;0.9266
esimesel Mida;0.9266
elada hotelli;0.9263
leegaiusega tuttavaks;0.9256
fantaasias Aga;0.9246
Eestis Kuidas;0.923
teatris New;0.9227
kunstnik Jüri;0.9219
ennemalt Eestis;0.9204
sõit otse;0.9194
Tartu sünnilinn;0.919
eksa nüüdki;0.9188
sünnime radadel;0.9184
aktiivne protsessis;0.9174
inimene teadlik;0.9163
programme pakkuda;0.9158
sünnilinn Jah;0.9157
reis fantastilise;0.9153
kaheksa loengut;0.9151
kunstis Tallinnas;0.915
olulisemad päevad;0.9142
laulab regilaulu;0.9141
võib-olla võrrelda;0.914
purjeregati ajal;0.914
Mina muutunud;0.9137
arvan õige;0.9135
asus koduteele;0.9132
laskmine sügavamale;0.9131
kontakt Eestimaaga;0.9122
vaadata mäletan;0.9122
linna kõndida;0.9119
Keda saanuid;0.9118
sündisin aeg;0.9114
radadega aktiivne;0.9108
muutunud seminariprogramm;0.9108
keeleteadlaste arvan;0.9106
võtta uus;0.9105
seminariprogramm paistaksid;0.9105
venna Täna;0.9105
erinev tunne;0.91
mäletan kaks;0.9099
fantaasia Ja;0.9094
aastat Hoopis;0.9092
muljetega asus;0.9092
juurte jõul;0.909
aastast aastasse;0.9074
Neid sport;0.907
kultuurisidemete arendamise;0.9066
Jah Tartus;0.9065
üldse toimub;0.9061
paljud Mina;0.9059
tegutsemine juurte;0.9058
aspekt esivanemate;0.9058
toimetatakse alal;0.905
seminari eesmärk;0.9044
sügavalt pinnas;0.9041
päev intensiivsem;0.9036
Kihnu saarele;0.9035
sportlased Ei;0.9033
tunne Saviby;0.9033
kohtasin esmakordselt;0.9032
Tartus käinud;0.9029
olümpiavõistlejad Jah;0.9023
käin hästi;0.9021
seminarist osavõtjad;0.9019
Ehk inimene;0.9016
vaja vaadata;0.9014
jäänud ennemalt;0.9008
päev päev;0.8994
Ja käisin;0.8986
võimalus elada;0.8985
tutvuda Igor;0.8978
jäänud väliseestlastega;0.8973
kultuuriteada võimalik;0.8971
Igor Tõnurist;0.897
Mis tunne;0.897
peksa seminari;0.8968
imeline reis;0.8956
eestimaal eile;0.895
masinaid tartus;0.8948
elust New;0.8947
imeliseks Jah;0.8939
tänavu valitseb;0.8929
Jah võib-olla;0.8927
Ta imeline;0.8926
aja kordadel;0.8922
aspekti Mitte;0.8914
seminar Ma;0.8913
Tallinnas Aga;0.891
inimene laulab;0.8899
võib-olla komponeeris;0.8896
kirjanduse päev;0.889
loengudel võib-olla;0.8886
vaatamise esimene;0.888
arendamise ühingu;0.8873
väike Tallinn;0.8872
Kahtlemata elamus;0.8868
saanuid Lecordes;0.8863
osavõtjad ümbritseb;0.8855
inimene haruldane;0.8854
mõtelnud uurinud;0.8843
huvitab aspekt;0.8843
osa kolmandat;0.8833
eesmärk oligi;0.8831
käisin kunstnik;0.8829
eriti tujulised;0.8829
alguses arvan;0.8825
hästi New;0.8805
aktiivne mulla;0.8802
kultuuris päritolu;0.8797
protsessis Ehk;0.8788
radadel Mis;0.8784
uus ilus;0.878
juured laseb;0.8771
Eesti teatas;0.8767
dünaamika kunstis;0.8763
Jah seekordse;0.875
seminaris kid;0.8747
sündisin Tartus;0.8746
eile tean;0.8729
igapäevasest elust;0.8715
aktiivselt võtab;0.8712
Eestimaaga tutvumiseks;0.8706
seminaride omavahelisi;0.8703
terve imeliseks;0.87
esimesel kahel;0.8664
Yorkist võttis;0.8661
võlub Mis;0.8657
jõe New;0.865
tundus muutunud;0.8649
objektiivselt oleneb;0.8647
päeva hommikust;0.8644
Jah uut;0.8629
esitatud keeleteadlaste;0.8608
esimene seminar;0.8606
uut huvitavat;0.8606
mahti kontakteerumise;0.8602
andis Kihnu;0.8601
kaks aastat;0.8572
ajal elasid;0.8559
inimene juured;0.8552
Ja Keda;0.855
linna dünaamikat;0.8533
kontakteerumise Ja;0.8496
võtab osa;0.8495
seeme käigus;0.8488
võimalik kaasa;0.8486
keele kirjanduse;0.8436
elamus Jah;0.8429
Ma teistmoodi;0.8392
konnaseminaril andis;0.8367
Liivi jõe;0.8312
vaatan jälle;0.8309
eksale Jah;0.8298
mulla laskmine;0.8287
elada ;0.8239
kolmandat korda;0.8217
Jüri Arrak;0.8139
sport olümpia;0.8126
tutvumiseks Milliste;0.8099
lähemale lähemale;0.8055
toast sportlased;0.8008
tähendab New;0.7965
Jalaga Diana;0.7963
Tartus Tartu;0.7953
hotelli sport;0.7741
filter tunne;0.765
vaata diaatikale;0.7624
Jah Neid;0.7406
usin Ka;0.7271
tunne Ma;0.628
New Yorkist;0.6083
teave filter;0.5331
puhata Jah;0.4379
New Yorgis;0.1922
