EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,3,3,4,1,2,4,4,12,julgus; hall; eriline; aule; mass; tasuline; raha; ajakirjandus; kristi
7,3,3,3,4,1,2,5,4,12,julgus; hall; eriline; aule; mass; tasuline; raha; ajakirjandus; kristi
7,4,3,4,4,1,1,5,4,12,julgus; hall; eriline; aule; mass; tasuline; raha; ajakirjandus; kristi
7,3,2,4,5,3,1,5,4,12,julgus; hall; eriline; aule; mass; tasuline; raha; ajakirjandus; kristi
5,4,3,3,5,3,0,5,4,12,julgus; hall; eriline; aule; tasuline; mass; raha; ajakirjandus; kristi
4,3,6,3,4,8,2,4,4,12,julgus; hall; eriline; aule; tasuline; mass; raha; ajakirjandus; kristi
3,2,7,5,4,7,4,8,4,12,julgus; hall; eriline; aule; tasuline; mass; raha; ajakirjandus; kristi
3,3,6,3,4,6,6,5,5,12,julgus; hall; eriline; aule; tasuline; mass; raha; ajakirjandus; kristi
3,2,7,5,5,6,4,6,5,12,julgus; hall; eriline; aule; tasuline; mass; raha; ajakirjandus; kristi
3,2,5,3,7,6,4,7,5,12,julgus; hall; eriline; aule; tasuline; mass; raha; ajakirjandus; kristi
2,1,5,3,4,6,4,6,5,12,julgus; hall; eriline; aule; tasuline; mass; raha; ajakirjandus; kristi
