EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
0,2,1,3,1,4,2,2,2,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
