EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;maakodu;situatsioon;viie-kuueaastane;;külaline;Santana;Haapsalus;jätkama
Cohesion;pood;liiklus;lõppkokkuvõte;power;kaasa;täna;rääkima;töötama
võimalik;maa;Katariina;tegelemine;mass;rääkima;tänane;Haapsalu;käigus
eneseõigustus;sõber;Tallinn;siidimaal;objekt;tulevalge;päevapealt;Katariina;kujundamine
käimalükkamine;mäng;tõenäoliselt;üldse;vahevariant;jutusaa;tänapäev;võtma;keha
noortemäng;jalutama;autosõit;põhiselt;andma;külastaja;Carlos;vaatama;kuskilt
põhimõtteliselt;ümbritsema;juhtuma;eluhetk;seep;jaksama;Tallinn;Tallinn;üritama
järjekord;lõbu;ilmselt;tööaeg;vale;Santana;valimistepäev;Liivia;viis
kateeder;moekunstnik;olukord;tegutsema;kodu;nägema;kaasa;püsti;lihtsalt
pissihäda;aed;Santana;ebaõiglane;vastavalt;-te;niipea;kuskilt;tähistama
mõistus;muusika;sündmus;konkreetne;ring;jõudma;valmisolek;näiteks;jõud
väljaastumine;ostma;toimuma;tegelikult;interpreteerima;ehketestin;siidimaal;loomulikult;projekt
käimatõmbamine;eneseabikursus;tavaliselt;kaubandussöögipood;probleem;vedama;laat;kaasa;võib-olla
küsimus;soovima;võib-olla;tänapäevane;idee;jutusaade;rääkima;lõpuks;valmis
viis-kuus-seitne;üritus;sõitma;meeldima;male;kutsuma;ehketestin;kuskile;vahetama
üritus;super;tihti;noortemäng;president;panema;lausa;nii-öelda;hästi
põhiliselt;tundma;rääkima;sajakilomeetrine;lava;jutustav;ammu;viis-kuus-seitne;vajalik
sisekujundus;keha;ratas;veidi;seoses;olenema;ehetama;jätkama;võimalik
ehketestin;lisa;arvuti;suujupe;tore;tulek;ütleja;millegipärast;varem
moekunst;jama;tänapäevane;keskmine;võimalik;tänapäev;valmis;kodutunne;laat
moekateeder;tänama;võimalik;autokujuline;abee;paluma;kuskilt;paremini;Haapsalus
tänapäevane;linn;kolima;lõkketuli;näiteks;arutama;lõbusam;tegelikult;vahva
väikeauto;mass;käima;nähtus;arvuti;ütlema;kuskile;soovima;ümbritsema
turismiatraktsioon;koht;sein;hommiku-söök;asi;mitt;viisselt;hästi;põhjus
füüsiline;eneseõigustus;eksistentsiaalne;võrdlema;vajadus;jutt;korraks;suurim;91
mõtlemine;tervis;kaubaauto;joonistamisring;kindel;kere;ilmselt;sõitma;Läänemaa
kaubandussöögipood;liiklus;suusatama;atraktsioon;aed;valmis;niiet;jõudma;objekt
suursündmus;elukeskkond;muusika;saatus;auto;ausalt;äkki;kuulama;muutus
disainimaailm;sirge;jooksma;sõitma;sein;esinema;Soome;päevapealt;tundma
suujupe;ratas;normaalne;moekateeder;klient;meeldima;tänav;jälle;president
eneseabikursus;aasta;ütlema;eneseabikursus;disain;sobima;hetk;kõlama;ajastu
õpetajatöö;kool;loomulikult;lõbustama;viru;ütleja;nõus;ilmselt;möödunud
ületöötama;male;jalutama;ülekohtune;inimene;elavdama;Eesti;Läänemaa;Labson
tinder;küsimus;valimistepäev;väikeauto;buss;maja;paluma;kuulma;Haapsalu
tabuteema;disain;jääma;mõtlema;super;paik;asi;täna;aeg
