EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,6,5,3,9,9,10,9,14,salonen; friedebert; johannes; raud; karl; tuglas; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
7,7,6,5,3,9,12,10,9,14,salonen; friedebert; johannes; raud; karl; tuglas; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
7,8,6,5,4,9,12,11,9,14,salonen; friedebert; johannes; raud; karl; tuglas; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
9,8,6,6,4,11,14,13,9,14,salonen; friedebert; johannes; raud; karl; tuglas; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
9,8,8,9,4,11,14,11,9,14,salonen; friedebert; johannes; raud; tuglas; karl; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
9,8,13,9,7,10,13,11,9,14,salonen; friedebert; johannes; raud; tuglas; karl; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
9,7,13,11,8,9,12,12,9,14,salonen; friedebert; johannes; raud; tuglas; karl; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
8,6,11,13,9,10,9,13,11,14,salonen; friedebert; johannes; raud; tuglas; karl; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
6,8,13,14,11,8,10,13,11,14,salonen; friedebert; johannes; raud; tuglas; karl; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
7,5,12,14,11,8,6,9,10,14,salonen; friedebert; johannes; raud; tuglas; karl; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
5,5,12,14,10,8,6,12,10,14,salonen; friedebert; johannes; raud; tuglas; karl; murdekeel; küsimus; hellitus; kantseleikeel; armas; august; keel; hermann
